city_code city_name prov_name longitude latitude
361100 上饶市 江西 117.955 28.4576
370100 济南市 山东 117.025 36.6828
370181 章丘市 山东 117.479 36.7449
370200 青岛市 山东 120.384 36.1052
370281 胶州市 山东 119.959 36.248
370282 即墨市 山东 120.521 36.4879
370283 平度市 山东 119.951 36.7886
370284 胶南市 山东 119.856 35.8529
370285 莱西市 山东 120.443 36.8636
370300 淄博市 山东 118.059 36.8047
370400 枣庄市 山东 117.279 34.8079
370500 东营市 山东 118.584 37.4871
370600 烟台市 山东 121.31 37.5366
370683 莱州市 山东 120.001 37.1904
370684 蓬莱市 山东 120.863 37.6612
370685 招远市 山东 120.401 37.3441
370700 潍坊市 山东 119.143 36.7161
370783 寿光市 山东 118.853 37.0299
370800 济宁市 山东 116.601 35.4021
370900 泰安市 山东 117.089 36.1881
371000 威海市 山东 122.094 37.5288
371081 文登市 山东 122.011 37.1541
371082 荣成市 山东 122.407 37.1287
371083 乳山市 山东 121.53 36.9766
371100 日照市 山东 119.507 35.4202
371200 莱芜市 山东 117.685 36.2337
371300 临沂市 山东 118.341 35.0724
371400 德州市 山东 116.328 37.4608
371500 聊城市 山东 115.987 36.4558
371600 滨州市 山东 117.968 37.4053
371700 菏泽市 山东 115.463 35.2624
410100 郑州市 河南 113.65 34.7566
410200 开封市 河南 114.352 34.8019
410300 洛阳市 河南 112.448 34.6574
410400 平顶山市 河南 113.301 33.7453
410500 安阳市 河南 114.352 36.1103
410600 鹤壁市 河南 114.298 35.7554
410700 新乡市 河南 113.913 35.3073
410800 焦作市 河南 113.212 35.2346
410900 濮阳市 河南 115.027 35.7533
411000 许昌市 河南 113.835 34.0267
411100 漯河市 河南 114.046 33.5763
411200 三门峡市 河南 111.181 34.7833
411300 南阳市 河南 112.543 33.0114
411400 商丘市 河南 115.642 34.4386
411500 信阳市 河南 114.085 32.1286
411600 周口市 河南 114.654 33.6237
411700 驻马店市 河南 114.049 32.9832
420100 武汉市 湖北 114.316 30.5811
420200 黄石市 湖北 115.051 30.2161
420300 十堰市 湖北 110.801 32.637
420500 宜昌市 湖北 111.311 30.7328
420600 襄阳市 湖北 111.95 31.9397
420700 鄂州市 湖北 114.896 30.3844
420800 荆门市 湖北 112.217 31.0426
420900 孝感市 湖北 113.936 30.928
421000 荆州市 湖北 112.242 30.3326
421100 黄冈市 湖北 114.907 30.4461
421200 咸宁市 湖北 114.3 29.8807
421300 随州市 湖北 113.379 31.7179
422800 恩施州 湖北 109.492 30.2859
430100 长沙市 湖南 112.979 28.2135
430200 株洲市 湖南 113.132 27.8274
430300 湘潭市 湖南 112.936 27.8351
430400 衡阳市 湖南 112.584 26.8982
430500 邵阳市 湖南 111.462 27.2368
430600 岳阳市 湖南 113.146 29.378
430700 常德市 湖南 111.654 29.0121
430800 张家界市 湖南 110.482 29.1249
430900 益阳市 湖南 112.367 28.5881
431000 郴州市 湖南 113.038 25.7823
431100 永州市 湖南 111.615 26.436
431200 怀化市 湖南 109.987 27.5575
431300 娄底市 湖南 111.996 27.7411
433100 湘西州 湖南 109.746 28.318
440100 广州市 广东 113.308 23.12
440200 韶关市 广东 113.594 24.803
440300 深圳市 广东 114.026 22.5461
440400 珠海市 广东 113.562 22.2569
440500 汕头市 广东 116.729 23.3839
440600 佛山市 广东 113.134 23.0351
440700 江门市 广东 113.078 22.5751
440800 湛江市 广东 110.365 21.2575
440900 茂名市 广东 110.931 21.6682
441200 肇庆市 广东 112.48 23.0787
441300 惠州市 广东 114.411 23.1135
441400 梅州市 广东 116.126 24.3046
441500 汕尾市 广东 115.373 22.7787
441600 河源市 广东 114.714 23.7573
441700 阳江市 广东 111.977 21.8715
441800 清远市 广东 113.041 23.6985
441900 东莞市 广东 113.763 23.043
442000 中山市 广东 113.422 22.5452
445100 潮州市 广东 116.63 23.6618
445200 揭阳市 广东 116.38 23.548
445300 云浮市 广东 112.051 22.938
450100 南宁市 广西 108.297 22.8065
450200 柳州市 广西 109.422 24.3291
450300 桂林市 广西 110.261 25.2629
450400 梧州市 广西 111.305 23.4854
450500 北海市 广西 109.123 21.4727
450600 防城港市 广西 108.352 21.6174
450700 钦州市 广西 108.639 21.9734
450800 贵港市 广西 109.614 23.1034
450900 玉林市 广西 110.152 22.644
451000 百色市 广西 106.632 23.9015
451100 贺州市 广西 111.553 24.4111
451200 河池市 广西 108.07 24.6995
451300 来宾市 广西 109.232 23.7412
451400 崇左市 广西 107.357 22.4155
460100 海口市 海南 110.331 20.0221
460200 三亚市 海南 109.523 18.2578
500000 重庆市 重庆 106.531 29.5446
510100 成都市 四川 104.068 30.6799
510300 自贡市 四川 104.776 29.3592
510400 攀枝花市 四川 101.722 26.5876
510500 泸州市 四川 105.444 28.8959
510600 德阳市 四川 104.402 31.1311
510700 绵阳市 四川 104.706 31.5047
510800 广元市 四川 105.82 32.441
510900 遂宁市 四川 105.565 30.5575
511000 内江市 四川 105.073 29.5995
511100 乐山市 四川 103.761 29.601
511300 南充市 四川 106.106 30.801
511400 眉山市 四川 103.841 30.0611
511500 宜宾市 四川 104.633 28.7697
511600 广安市 四川 106.636 30.464
511700 达州市 四川 107.495 31.2142
511800 雅安市 四川 103.009 29.9997
511900 巴中市 四川 106.758 31.8692
